team,abbrev,seed,round,pick_pct,pick_count
Saint Mary's Gaels,SMC,7,R1,53.9769,8341486
Texas A&M Aggies,TA&M,10,R1,46.0231,7112320
Florida Gators,FLA,1,R1,98.1225,15163651
Prairie View A&M Panthers,PV,16,R1,1.8775,290144
Michigan Wolverines,MICH,1,R1,97.8416,15120268
Howard Bison,HOW,16,R1,2.1584,333551
Duke Blue Devils,DUKE,1,F4,42.8352,6619666
Siena Saints,SIE,16,F4,0.3403,52592
Ohio State Buckeyes,OSU,8,F4,0.4984,77020
TCU Horned Frogs,TCU,9,F4,0.1456,22508
St. John's Red Storm,SJU,5,F4,2.4558,379519
Northern Iowa Panthers,UNI,12,F4,0.0694,10723
Kansas Jayhawks,KU,4,F4,2.0023,309436
California Baptist Lancers,CBU,13,F4,0.0744,11500
Louisville Cardinals,LOU,6,F4,0.4259,65812
South Florida Bulls,USF,11,F4,0.1399,21613
Michigan State Spartans,MSU,3,F4,4.4919,694174
North Dakota State Bison,NDSU,14,F4,0.0651,10061
UCLA Bruins,UCLA,7,F4,0.4854,75006
UCF Knights,UCF,10,F4,0.0892,13786
UConn Huskies,CONN,2,F4,7.7136,1192047
Furman Paladins,FUR,15,F4,0.077,11902
Florida Gators,FLA,1,F4,15.5166,2397911
Prairie View A&M Panthers,PV,16,F4,0.1569,24250
Clemson Tigers,CLEM,8,F4,0.2345,36246
Iowa Hawkeyes,IOWA,9,F4,0.2229,34441
Vanderbilt Commodores,VAN,5,F4,1.1447,176905
McNeese Cowboys,MCN,12,F4,0.1383,21365
Nebraska Cornhuskers,NEB,4,F4,0.8678,134102
Troy Trojans,TROY,13,F4,0.067,10361
North Carolina Tar Heels,UNC,6,F4,0.9557,147692
VCU Rams,VCU,11,F4,0.0893,13798
Illinois Fighting Illini,ILL,3,F4,3.4874,538941
Pennsylvania Quakers,PENN,14,F4,0.1103,17041
Saint Mary's Gaels,SMC,7,F4,0.1869,28879
Texas A&M Aggies,TA&M,10,F4,0.2161,33403
Houston Cougars,HOU,2,F4,14.5919,2255011
Idaho Vandals,IDHO,15,F4,0.1042,16101
Michigan Wolverines,MICH,1,S16,80.1471,12385627
Howard Bison,HOW,16,S16,0.6816,105328
Georgia Bulldogs,UGA,8,S16,1.6983,262444
Saint Louis Billikens,SLU,9,S16,1.4088,217711
Texas Tech Red Raiders,TTU,5,S16,6.4258,993011
Akron Zips,AKR,12,S16,0.6845,105781
Alabama Crimson Tide,ALA,4,S16,8.4871,1311559
Hofstra Pride,HOF,13,S16,0.4669,72157
Houston Cougars,HOU,2,R1,96.7381,14949710
Idaho Vandals,IDHO,15,R1,3.2619,504085
